phrase,category,d_speeches,r_speeches,total,percent_of_d_speeches,percent_of_r_speeches,chi2,pval
remain,NA,9,15,24,39.13,55.56,0.698067633,0.40343376
50,NA,9,15,24,39.13,55.56,0.698067633,0.40343376
called,NA,9,15,24,39.13,55.56,0.698067633,0.40343376
provides,NA,9,15,24,39.13,55.56,0.698067633,0.40343376
allow,NA,9,15,24,39.13,55.56,0.698067633,0.40343376
start,NA,23,21,44,100,77.78,0.696969697,0.403803797
come,NA,23,21,44,100,77.78,0.696969697,0.403803797
ve,NA,22,20,42,95.65,74.07,0.688444138,0.406694092
don,NA,21,19,40,91.3,70.37,0.680354267,0.40946476
patients,NA,9,7,16,39.13,25.93,0.676731079,0.410714643
wages,economy/fiscal issues,9,7,16,39.13,25.93,0.676731079,0.410714643
gas,NA,9,7,16,39.13,25.93,0.676731079,0.410714643
skilled,NA,9,7,16,39.13,25.93,0.676731079,0.410714643
making sure,NA,9,7,16,39.13,25.93,0.676731079,0.410714643
numbers,NA,9,7,16,39.13,25.93,0.676731079,0.410714643
begins,NA,9,7,16,39.13,25.93,0.676731079,0.410714643
town,NA,9,7,16,39.13,25.93,0.676731079,0.410714643
real,NA,20,18,38,86.96,66.67,0.672768879,0.412087912
percent,NA,19,17,36,82.61,62.96,0.665772052,0.414529557
ll,NA,19,17,36,82.61,62.96,0.665772052,0.414529557
small,NA,19,17,36,82.61,62.96,0.665772052,0.414529557
paying,NA,19,17,36,82.61,62.96,0.665772052,0.414529557
special,NA,12,19,31,52.17,70.37,0.663290219,0.41540077
facing,NA,10,8,18,43.48,29.63,0.661656826,0.41597563
weeks ago,NA,10,8,18,43.48,29.63,0.661656826,0.41597563
environmental,energy/environment,10,8,18,43.48,29.63,0.661656826,0.41597563
large,NA,10,8,18,43.48,29.63,0.661656826,0.41597563
gap,NA,10,8,18,43.48,29.63,0.661656826,0.41597563
distinguished,NA,10,8,18,43.48,29.63,0.661656826,0.41597563
millions dollars,economy/fiscal issues,10,8,18,43.48,29.63,0.661656826,0.41597563
saving,NA,10,8,18,43.48,29.63,0.661656826,0.41597563
kids,NA,18,16,34,78.26,59.26,0.659467652,0.416747945
safe,NA,18,16,34,78.26,59.26,0.659467652,0.416747945
experience,NA,11,9,20,47.83,33.33,0.652173913,0.41933652
tonight,NA,11,9,20,47.83,33.33,0.652173913,0.41933652
politics,NA,11,9,20,47.83,33.33,0.652173913,0.41933652
helped,NA,11,9,20,47.83,33.33,0.652173913,0.41933652
unemployment rate,economy/fiscal issues,11,9,20,47.83,33.33,0.652173913,0.41933652
short,NA,11,9,20,47.83,33.33,0.652173913,0.41933652
treat,NA,11,9,20,47.83,33.33,0.652173913,0.41933652
went,NA,11,9,20,47.83,33.33,0.652173913,0.41933652
second,NA,15,23,38,65.22,85.19,0.651580642,0.419548125
deserve,NA,16,14,30,69.57,51.85,0.64949007,0.420295052
veterans,NA,15,13,28,65.22,48.15,0.646192777,0.421477159
friends,NA,15,13,28,65.22,48.15,0.646192777,0.421477159
helping,NA,13,11,24,56.52,40.74,0.644390768,0.422125295
matter,NA,13,11,24,56.52,40.74,0.644390768,0.422125295
united,NA,14,12,26,60.87,44.44,0.644370123,0.422132729
room,NA,14,12,26,60.87,44.44,0.644370123,0.422132729
point,NA,14,12,26,60.87,44.44,0.644370123,0.422132729
insurance,NA,14,12,26,60.87,44.44,0.644370123,0.422132729
promise,NA,14,12,26,60.87,44.44,0.644370123,0.422132729
investing,NA,14,12,26,60.87,44.44,0.644370123,0.422132729
research,NA,7,12,19,30.43,44.44,0.641495042,0.423169939
quality life,NA,7,12,19,30.43,44.44,0.641495042,0.423169939
individual,NA,7,12,19,30.43,44.44,0.641495042,0.423169939
cities,NA,7,12,19,30.43,44.44,0.641495042,0.423169939
addressing,NA,7,12,19,30.43,44.44,0.641495042,0.423169939
industries,economy/fiscal issues,7,12,19,30.43,44.44,0.641495042,0.423169939
willing,NA,7,12,19,30.43,44.44,0.641495042,0.423169939
computer,NA,5,9,14,21.74,33.33,0.596273292,0.440003477
pleased,NA,5,9,14,21.74,33.33,0.596273292,0.440003477
review,NA,5,9,14,21.74,33.33,0.596273292,0.440003477
reduction,NA,5,9,14,21.74,33.33,0.596273292,0.440003477
restore,NA,5,9,14,21.74,33.33,0.596273292,0.440003477
remarkable,NA,5,9,14,21.74,33.33,0.596273292,0.440003477
stories,NA,5,9,14,21.74,33.33,0.596273292,0.440003477
bold,NA,5,9,14,21.74,33.33,0.596273292,0.440003477
challenging,NA,5,9,14,21.74,33.33,0.596273292,0.440003477
news,NA,5,9,14,21.74,33.33,0.596273292,0.440003477
budgets,economy/fiscal issues,5,9,14,21.74,33.33,0.596273292,0.440003477
status,NA,5,9,14,21.74,33.33,0.596273292,0.440003477
immediate,NA,5,9,14,21.74,33.33,0.596273292,0.440003477
economic growth,economy/fiscal issues,5,9,14,21.74,33.33,0.596273292,0.440003477
accountability,NA,5,9,14,21.74,33.33,0.596273292,0.440003477
thought,NA,5,9,14,21.74,33.33,0.596273292,0.440003477
road,NA,10,16,26,43.48,59.26,0.594822247,0.440560421
results,NA,10,16,26,43.48,59.26,0.594822247,0.440560421
individuals,NA,10,16,26,43.48,59.26,0.594822247,0.440560421
recognized,NA,10,16,26,43.48,59.26,0.594822247,0.440560421
drug,mental health/substance abuse,10,16,26,43.48,59.26,0.594822247,0.440560421
law enforcement officers,crime/justice,3,6,9,13.04,22.22,0.581320451,0.445795211
members house,NA,3,6,9,13.04,22.22,0.581320451,0.445795211
enforcement officers,crime/justice,3,6,9,13.04,22.22,0.581320451,0.445795211
better place,NA,3,6,9,13.04,22.22,0.581320451,0.445795211
continue invest,NA,3,6,9,13.04,22.22,0.581320451,0.445795211
000 people,NA,3,6,9,13.04,22.22,0.581320451,0.445795211
taxes,economy/fiscal issues,13,20,33,56.52,74.07,0.579758942,0.446406823
additional,NA,13,20,33,56.52,74.07,0.579758942,0.446406823
average,NA,8,13,21,34.78,48.15,0.528257036,0.467340561
attract,NA,8,13,21,34.78,48.15,0.528257036,0.467340561
reason,NA,8,13,21,34.78,48.15,0.528257036,0.467340561
non,NA,8,13,21,34.78,48.15,0.528257036,0.467340561
tools,NA,8,13,21,34.78,48.15,0.528257036,0.467340561
science,NA,8,13,21,34.78,48.15,0.528257036,0.467340561
model,NA,8,13,21,34.78,48.15,0.528257036,0.467340561
30,NA,11,17,28,47.83,62.96,0.508166552,0.475933621
session,NA,11,17,28,47.83,62.96,0.508166552,0.475933621
raise,NA,14,21,35,60.87,77.78,0.507246377,0.476333314
focus,NA,14,21,35,60.87,77.78,0.507246377,0.476333314
community,NA,23,22,45,100,81.48,0.473251029,0.491495333
conversation,NA,6,10,16,26.09,37.04,0.465378422,0.495121029
finish,NA,6,10,16,26.09,37.04,0.465378422,0.495121029
return,NA,6,10,16,26.09,37.04,0.465378422,0.495121029
society,NA,6,10,16,26.09,37.04,0.465378422,0.495121029
efficient,NA,6,10,16,26.09,37.04,0.465378422,0.495121029
school districts,education,6,10,16,26.09,37.04,0.465378422,0.495121029
partners,NA,6,10,16,26.09,37.04,0.465378422,0.495121029
delivering,NA,6,10,16,26.09,37.04,0.465378422,0.495121029
word,NA,6,10,16,26.09,37.04,0.465378422,0.495121029
forward working,NA,6,10,16,26.09,37.04,0.465378422,0.495121029
goes,NA,6,10,16,26.09,37.04,0.465378422,0.495121029
universities,education,6,10,16,26.09,37.04,0.465378422,0.495121029
addiction,mental health/substance abuse,6,10,16,26.09,37.04,0.465378422,0.495121029
school students,education,6,10,16,26.09,37.04,0.465378422,0.495121029
seek,NA,6,10,16,26.09,37.04,0.465378422,0.495121029
going,NA,22,21,43,95.65,77.78,0.46140883,0.496966289
country,NA,21,20,41,91.3,74.07,0.44966812,0.502492601
services,NA,20,19,39,86.96,70.37,0.438044511,0.5080678
things,NA,20,19,39,86.96,70.37,0.438044511,0.5080678
social,NA,9,14,23,39.13,51.85,0.436953021,0.508596781
deliver,NA,9,14,23,39.13,51.85,0.436953021,0.508596781
expansion,NA,9,14,23,39.13,51.85,0.436953021,0.508596781
providing,NA,9,14,23,39.13,51.85,0.436953021,0.508596781
laws,NA,9,14,23,39.13,51.85,0.436953021,0.508596781
role,NA,9,14,23,39.13,51.85,0.436953021,0.508596781
teacher,education,12,18,30,52.17,66.67,0.434782609,0.509651478
story,NA,12,18,30,52.17,66.67,0.434782609,0.509651478
recognize,NA,12,18,30,52.17,66.67,0.434782609,0.509651478
build,NA,19,18,37,82.61,66.67,0.426556992,0.513683234
bring,NA,19,18,37,82.61,66.67,0.426556992,0.513683234
worked,NA,18,17,35,78.26,62.96,0.415228893,0.519327386
women,NA,18,17,35,78.26,62.96,0.415228893,0.519327386
forever,NA,4,7,11,17.39,25.93,0.411213585,0.521354179
pay raise,economy/fiscal issues,4,7,11,17.39,25.93,0.411213585,0.521354179
cases,NA,4,7,11,17.39,25.93,0.411213585,0.521354179
allowed,NA,4,7,11,17.39,25.93,0.411213585,0.521354179
million dollars,economy/fiscal issues,4,7,11,17.39,25.93,0.411213585,0.521354179
grants,NA,4,7,11,17.39,25.93,0.411213585,0.521354179
computer science,education,4,7,11,17.39,25.93,0.411213585,0.521354179
recognizing,NA,4,7,11,17.39,25.93,0.411213585,0.521354179
lt,NA,4,7,11,17.39,25.93,0.411213585,0.521354179
related,NA,4,7,11,17.39,25.93,0.411213585,0.521354179
remove,NA,4,7,11,17.39,25.93,0.411213585,0.521354179
completed,NA,4,7,11,17.39,25.93,0.411213585,0.521354179
understanding,NA,4,7,11,17.39,25.93,0.411213585,0.521354179
ultimately,NA,4,7,11,17.39,25.93,0.411213585,0.521354179
returned,NA,4,7,11,17.39,25.93,0.411213585,0.521354179
turning,NA,4,7,11,17.39,25.93,0.411213585,0.521354179
meaningful,NA,4,7,11,17.39,25.93,0.411213585,0.521354179
departments,NA,4,7,11,17.39,25.93,0.411213585,0.521354179
choice,NA,4,7,11,17.39,25.93,0.411213585,0.521354179
test,NA,4,7,11,17.39,25.93,0.411213585,0.521354179
study,NA,4,7,11,17.39,25.93,0.411213585,0.521354179
culture,NA,4,7,11,17.39,25.93,0.411213585,0.521354179
applaud,NA,4,7,11,17.39,25.93,0.411213585,0.521354179
eliminating,NA,4,7,11,17.39,25.93,0.411213585,0.521354179
words,NA,4,7,11,17.39,25.93,0.411213585,0.521354179
professionals,NA,4,7,11,17.39,25.93,0.411213585,0.521354179
prepared,NA,4,7,11,17.39,25.93,0.411213585,0.521354179
constitutional officers,NA,4,7,11,17.39,25.93,0.411213585,0.521354179
billions,NA,4,7,11,17.39,25.93,0.411213585,0.521354179
heroes,NA,4,7,11,17.39,25.93,0.411213585,0.521354179
post,NA,4,7,11,17.39,25.93,0.411213585,0.521354179
judiciary,NA,4,7,11,17.39,25.93,0.411213585,0.521354179
army,NA,4,7,11,17.39,25.93,0.411213585,0.521354179
proven,NA,4,7,11,17.39,25.93,0.411213585,0.521354179
face,NA,17,16,33,73.91,59.26,0.404089201,0.524984944
costs,economy/fiscal issues,17,16,33,73.91,59.26,0.404089201,0.524984944
taking action,NA,3,2,5,13.04,7.41,0.39452496,0.529930429
economic recovery,economy/fiscal issues,3,2,5,13.04,7.41,0.39452496,0.529930429
fair share,economy/fiscal issues,3,2,5,13.04,7.41,0.39452496,0.529930429
took oath office,NA,3,2,5,13.04,7.41,0.39452496,0.529930429
national model,NA,3,2,5,13.04,7.41,0.39452496,0.529930429
today year,NA,3,2,5,13.04,7.41,0.39452496,0.529930429
15 000,NA,3,2,5,13.04,7.41,0.39452496,0.529930429
education opportunity,education,3,2,5,13.04,7.41,0.39452496,0.529930429
150 000,NA,3,2,5,13.04,7.41,0.39452496,0.529930429
brighter future,NA,3,2,5,13.04,7.41,0.39452496,0.529930429
difference lives,NA,3,2,5,13.04,7.41,0.39452496,0.529930429
homes businesses,NA,3,2,5,13.04,7.41,0.39452496,0.529930429
funding education,education,3,2,5,13.04,7.41,0.39452496,0.529930429
day kindergarten,education,3,2,5,13.04,7.41,0.39452496,0.529930429
corporate tax,economy/fiscal issues,3,2,5,13.04,7.41,0.39452496,0.529930429
career technical education,economy/fiscal issues,3,2,5,13.04,7.41,0.39452496,0.529930429
stand thank,NA,3,2,5,13.04,7.41,0.39452496,0.529930429
gas emissions,energy/environment,3,2,5,13.04,7.41,0.39452496,0.529930429
state thank,NA,3,2,5,13.04,7.41,0.39452496,0.529930429
budget state,economy/fiscal issues,3,2,5,13.04,7.41,0.39452496,0.529930429
don believe,NA,3,2,5,13.04,7.41,0.39452496,0.529930429
10 percent,NA,3,2,5,13.04,7.41,0.39452496,0.529930429
federal tax,economy/fiscal issues,3,2,5,13.04,7.41,0.39452496,0.529930429
build stronger,economy/fiscal issues,3,2,5,13.04,7.41,0.39452496,0.529930429
school buildings,education,3,2,5,13.04,7.41,0.39452496,0.529930429
jobs today,economy/fiscal issues,3,2,5,13.04,7.41,0.39452496,0.529930429
goods services,economy/fiscal issues,3,2,5,13.04,7.41,0.39452496,0.529930429
technical education,education,3,2,5,13.04,7.41,0.39452496,0.529930429
ve learned,NA,3,2,5,13.04,7.41,0.39452496,0.529930429
industry state,NA,3,2,5,13.04,7.41,0.39452496,0.529930429
ve started,NA,3,2,5,13.04,7.41,0.39452496,0.529930429
little bit,NA,3,2,5,13.04,7.41,0.39452496,0.529930429
work want,NA,3,2,5,13.04,7.41,0.39452496,0.529930429
good things,NA,3,2,5,13.04,7.41,0.39452496,0.529930429
affordable accessible,NA,3,2,5,13.04,7.41,0.39452496,0.529930429
government services,NA,3,2,5,13.04,7.41,0.39452496,0.529930429
just want,NA,3,2,5,13.04,7.41,0.39452496,0.529930429
want clear,NA,3,2,5,13.04,7.41,0.39452496,0.529930429
let people,NA,3,2,5,13.04,7.41,0.39452496,0.529930429
want talk,NA,3,2,5,13.04,7.41,0.39452496,0.529930429
want work,NA,3,2,5,13.04,7.41,0.39452496,0.529930429
hard earned,NA,3,2,5,13.04,7.41,0.39452496,0.529930429
way ve,NA,3,2,5,13.04,7.41,0.39452496,0.529930429
know work,NA,3,2,5,13.04,7.41,0.39452496,0.529930429
included budget,NA,3,2,5,13.04,7.41,0.39452496,0.529930429
believe state,NA,3,2,5,13.04,7.41,0.39452496,0.529930429
students parents,education,3,2,5,13.04,7.41,0.39452496,0.529930429
state economy,economy/fiscal issues,3,2,5,13.04,7.41,0.39452496,0.529930429
deserve better,NA,3,2,5,13.04,7.41,0.39452496,0.529930429
state college,education,3,2,5,13.04,7.41,0.39452496,0.529930429
know going,NA,3,2,5,13.04,7.41,0.39452496,0.529930429
house representatives,NA,3,2,5,13.04,7.41,0.39452496,0.529930429
new job,economy/fiscal issues,3,2,5,13.04,7.41,0.39452496,0.529930429
personal income,economy/fiscal issues,3,2,5,13.04,7.41,0.39452496,0.529930429
60 million,NA,3,2,5,13.04,7.41,0.39452496,0.529930429
student debt,education,3,2,5,13.04,7.41,0.39452496,0.529930429
vast majority,NA,3,2,5,13.04,7.41,0.39452496,0.529930429
tough times,economy/fiscal issues,3,2,5,13.04,7.41,0.39452496,0.529930429
going work,NA,3,2,5,13.04,7.41,0.39452496,0.529930429
years ahead,NA,3,2,5,13.04,7.41,0.39452496,0.529930429
children health,health care,3,2,5,13.04,7.41,0.39452496,0.529930429
year proposing,NA,3,2,5,13.04,7.41,0.39452496,0.529930429
believe time,NA,3,2,5,13.04,7.41,0.39452496,0.529930429
jobs state,economy/fiscal issues,3,2,5,13.04,7.41,0.39452496,0.529930429
percent state,NA,3,2,5,13.04,7.41,0.39452496,0.529930429
people lives,NA,3,2,5,13.04,7.41,0.39452496,0.529930429
real difference,NA,3,2,5,13.04,7.41,0.39452496,0.529930429
past decade,NA,3,2,5,13.04,7.41,0.39452496,0.529930429
rural urban,NA,3,2,5,13.04,7.41,0.39452496,0.529930429
continue grow,NA,3,2,5,13.04,7.41,0.39452496,0.529930429
protect state,NA,3,2,5,13.04,7.41,0.39452496,0.529930429
history state,NA,3,2,5,13.04,7.41,0.39452496,0.529930429
place home,NA,3,2,5,13.04,7.41,0.39452496,0.529930429
health crisis,health care,3,2,5,13.04,7.41,0.39452496,0.529930429
opportunity make,NA,3,2,5,13.04,7.41,0.39452496,0.529930429
equal opportunity,NA,3,2,5,13.04,7.41,0.39452496,0.529930429
health challenges,health care,3,2,5,13.04,7.41,0.39452496,0.529930429
greenhouse gas emissions,energy/environment,3,2,5,13.04,7.41,0.39452496,0.529930429
police officers,crime/justice,3,2,5,13.04,7.41,0.39452496,0.529930429
crisis year,NA,3,2,5,13.04,7.41,0.39452496,0.529930429
continue build,NA,3,2,5,13.04,7.41,0.39452496,0.529930429
training,NA,16,15,31,69.57,55.56,0.393174381,0.530635514
won,NA,16,15,31,69.57,55.56,0.393174381,0.530635514
progress,NA,16,15,31,69.57,55.56,0.393174381,0.530635514
generation,NA,16,15,31,69.57,55.56,0.393174381,0.530635514
serve,NA,16,23,39,69.57,85.19,0.388496635,0.533090695
doing,NA,16,23,39,69.57,85.19,0.388496635,0.533090695
help students,education,2,4,6,8.7,14.81,0.387546967,0.533591646
know ve,NA,2,4,6,8.7,14.81,0.387546967,0.533591646
program help,NA,2,4,6,8.7,14.81,0.387546967,0.533591646
broadband access,NA,2,4,6,8.7,14.81,0.387546967,0.533591646
work protect,NA,2,4,6,8.7,14.81,0.387546967,0.533591646
work ethic,NA,2,4,6,8.7,14.81,0.387546967,0.533591646
workforce training,economy/fiscal issues,2,4,6,8.7,14.81,0.387546967,0.533591646
work things,NA,2,4,6,8.7,14.81,0.387546967,0.533591646
mental health care,mental health/substance abuse,2,4,6,8.7,14.81,0.387546967,0.533591646
bless united,NA,2,4,6,8.7,14.81,0.387546967,0.533591646
medicaid program,health care,2,4,6,8.7,14.81,0.387546967,0.533591646
bless united states,NA,2,4,6,8.7,14.81,0.387546967,0.533591646
fiscal year,economy/fiscal issues,2,4,6,8.7,14.81,0.387546967,0.533591646
spend money,economy/fiscal issues,2,4,6,8.7,14.81,0.387546967,0.533591646
believe best,NA,2,4,6,8.7,14.81,0.387546967,0.533591646
jobs created,economy/fiscal issues,2,4,6,8.7,14.81,0.387546967,0.533591646
speaker mr,NA,2,4,6,8.7,14.81,0.387546967,0.533591646
right direction,NA,2,4,6,8.7,14.81,0.387546967,0.533591646
make investments,NA,2,4,6,8.7,14.81,0.387546967,0.533591646
people want,NA,2,4,6,8.7,14.81,0.387546967,0.533591646
god bless united,NA,2,4,6,8.7,14.81,0.387546967,0.533591646
customer service,NA,2,4,6,8.7,14.81,0.387546967,0.533591646
state investment,NA,2,4,6,8.7,14.81,0.387546967,0.533591646
state need,NA,2,4,6,8.7,14.81,0.387546967,0.533591646
given opportunity,NA,2,4,6,8.7,14.81,0.387546967,0.533591646
tell story,NA,2,4,6,8.7,14.81,0.387546967,0.533591646
parts state,NA,2,4,6,8.7,14.81,0.387546967,0.533591646
great work,NA,2,4,6,8.7,14.81,0.387546967,0.533591646
ve said,NA,2,4,6,8.7,14.81,0.387546967,0.533591646
level playing,NA,2,4,6,8.7,14.81,0.387546967,0.533591646
want know,NA,2,4,6,8.7,14.81,0.387546967,0.533591646
substance use,mental health/substance abuse,2,4,6,8.7,14.81,0.387546967,0.533591646
look like,NA,2,4,6,8.7,14.81,0.387546967,0.533591646
long way,NA,2,4,6,8.7,14.81,0.387546967,0.533591646
rural,NA,15,14,29,65.22,51.85,0.382530957,0.536251814
decades,NA,15,14,29,65.22,51.85,0.382530957,0.536251814
ready,NA,15,14,29,65.22,51.85,0.382530957,0.536251814
common,NA,15,14,29,65.22,51.85,0.382530957,0.536251814
away,NA,15,14,29,65.22,51.85,0.382530957,0.536251814
crisis,NA,15,14,29,65.22,51.85,0.382530957,0.536251814
paid,NA,14,13,27,60.87,48.15,0.37221924,0.54179707
offer,NA,14,13,27,60.87,48.15,0.37221924,0.54179707
mental,NA,13,19,32,56.52,70.37,0.372181965,0.541817306
think,NA,13,19,32,56.52,70.37,0.372181965,0.541817306
directly,NA,7,11,18,30.43,40.74,0.366434067,0.544954452
earn,NA,7,11,18,30.43,40.74,0.366434067,0.544954452
constitutional,NA,7,11,18,30.43,40.74,0.366434067,0.544954452
eliminate,NA,7,11,18,30.43,40.74,0.366434067,0.544954452
changed,NA,7,11,18,30.43,40.74,0.366434067,0.544954452
demand,NA,7,11,18,30.43,40.74,0.366434067,0.544954452
include,NA,7,11,18,30.43,40.74,0.366434067,0.544954452
hit,NA,7,11,18,30.43,40.74,0.366434067,0.544954452
trust,NA,7,11,18,30.43,40.74,0.366434067,0.544954452
putting,NA,13,12,25,56.52,44.44,0.362318841,0.547221223
lieutenant governor,NA,13,12,25,56.52,44.44,0.362318841,0.547221223
lieutenant,NA,13,12,25,56.52,44.44,0.362318841,0.547221223
agree,NA,13,12,25,56.52,44.44,0.362318841,0.547221223
leading,NA,13,12,25,56.52,44.44,0.362318841,0.547221223
natural,NA,13,12,25,56.52,44.44,0.362318841,0.547221223
protecting,NA,13,12,25,56.52,44.44,0.362318841,0.547221223
available,NA,10,15,25,43.48,55.56,0.362318841,0.547221223
classroom,education,12,11,23,52.17,40.74,0.352937058,0.552455223
month,NA,12,11,23,52.17,40.74,0.352937058,0.552455223
reality,NA,12,11,23,52.17,40.74,0.352937058,0.552455223
federal funds,economy/fiscal issues,4,3,7,17.39,11.11,0.34989648,0.554171736
save lives,NA,4,3,7,17.39,11.11,0.34989648,0.554171736
budget ll,NA,4,3,7,17.39,11.11,0.34989648,0.554171736
career technical,economy/fiscal issues,4,3,7,17.39,11.11,0.34989648,0.554171736
new year,NA,4,3,7,17.39,11.11,0.34989648,0.554171736
quality health,health care,4,3,7,17.39,11.11,0.34989648,0.554171736
quality health care,health care,4,3,7,17.39,11.11,0.34989648,0.554171736
10 000,NA,4,3,7,17.39,11.11,0.34989648,0.554171736
number priority,NA,4,3,7,17.39,11.11,0.34989648,0.554171736
democrats republicans,NA,4,3,7,17.39,11.11,0.34989648,0.554171736
lead way,NA,4,3,7,17.39,11.11,0.34989648,0.554171736
let say,NA,4,3,7,17.39,11.11,0.34989648,0.554171736
state know,NA,4,3,7,17.39,11.11,0.34989648,0.554171736
don need,NA,4,3,7,17.39,11.11,0.34989648,0.554171736
don know,NA,4,3,7,17.39,11.11,0.34989648,0.554171736
make real,NA,4,3,7,17.39,11.11,0.34989648,0.554171736
national average,NA,4,3,7,17.39,11.11,0.34989648,0.554171736
tools need,NA,4,3,7,17.39,11.11,0.34989648,0.554171736
early education,education,4,3,7,17.39,11.11,0.34989648,0.554171736
best practices,NA,4,3,7,17.39,11.11,0.34989648,0.554171736
best nation,NA,4,3,7,17.39,11.11,0.34989648,0.554171736
going change,NA,4,3,7,17.39,11.11,0.34989648,0.554171736
thank thank,NA,4,3,7,17.39,11.11,0.34989648,0.554171736
90 percent,NA,4,3,7,17.39,11.11,0.34989648,0.554171736
access quality,NA,4,3,7,17.39,11.11,0.34989648,0.554171736
gets,NA,11,10,21,47.83,37.04,0.344222069,0.557402243
includes,NA,11,10,21,47.83,37.04,0.344222069,0.557402243
gone,NA,11,10,21,47.83,37.04,0.344222069,0.557402243
tough,NA,11,10,21,47.83,37.04,0.344222069,0.557402243
plan,NA,17,24,41,73.91,88.89,0.339696006,0.560004746
history,NA,17,24,41,73.91,88.89,0.339696006,0.560004746
young people,NA,10,9,19,43.48,33.33,0.336384439,0.561923664
urban,NA,10,9,19,43.48,33.33,0.336384439,0.561923664
hours,NA,10,9,19,43.48,33.33,0.336384439,0.561923664
equal,NA,10,9,19,43.48,33.33,0.336384439,0.561923664
greater,NA,10,9,19,43.48,33.33,0.336384439,0.561923664
public schools,education,10,9,19,43.48,33.33,0.336384439,0.561923664
bridges,NA,10,9,19,43.48,33.33,0.336384439,0.561923664
state better,NA,5,4,9,21.74,14.81,0.330828413,0.565171695
state just,NA,5,4,9,21.74,14.81,0.330828413,0.565171695
state time,NA,5,4,9,21.74,14.81,0.330828413,0.565171695
30 years,NA,5,4,9,21.74,14.81,0.330828413,0.565171695
good ideas,NA,5,4,9,21.74,14.81,0.330828413,0.565171695
economic opportunity,economy/fiscal issues,5,4,9,21.74,14.81,0.330828413,0.565171695
staff,NA,9,8,17,39.13,29.63,0.329733826,0.565815863
high quality,NA,9,8,17,39.13,29.63,0.329733826,0.565815863
position,NA,9,8,17,39.13,29.63,0.329733826,0.565815863
stood,NA,9,8,17,39.13,29.63,0.329733826,0.565815863
hand,NA,9,8,17,39.13,29.63,0.329733826,0.565815863
play,NA,9,8,17,39.13,29.63,0.329733826,0.565815863
steps,NA,9,8,17,39.13,29.63,0.329733826,0.565815863
hear,NA,9,8,17,39.13,29.63,0.329733826,0.565815863
shared,NA,9,8,17,39.13,29.63,0.329733826,0.565815863
aren,NA,9,8,17,39.13,29.63,0.329733826,0.565815863
designed,NA,8,7,15,34.78,25.93,0.324745035,0.56876991
form,NA,8,7,15,34.78,25.93,0.324745035,0.56876991
connect,NA,8,7,15,34.78,25.93,0.324745035,0.56876991
members legislature,NA,8,7,15,34.78,25.93,0.324745035,0.56876991
ensuring,NA,8,7,15,34.78,25.93,0.324745035,0.56876991
thrive,NA,8,7,15,34.78,25.93,0.324745035,0.56876991
united states america,NA,6,5,11,26.09,18.52,0.323378715,0.569584201
honest,NA,6,5,11,26.09,18.52,0.323378715,0.569584201
wonderful,NA,6,5,11,26.09,18.52,0.323378715,0.569584201
work state,NA,6,5,11,26.09,18.52,0.323378715,0.569584201
task force,NA,6,5,11,26.09,18.52,0.323378715,0.569584201
included,NA,6,5,11,26.09,18.52,0.323378715,0.569584201
fastest,NA,6,5,11,26.09,18.52,0.323378715,0.569584201
happens,NA,6,5,11,26.09,18.52,0.323378715,0.569584201
door,NA,6,5,11,26.09,18.52,0.323378715,0.569584201
raise family,NA,6,5,11,26.09,18.52,0.323378715,0.569584201
rapidly,NA,6,5,11,26.09,18.52,0.323378715,0.569584201
failed,NA,6,5,11,26.09,18.52,0.323378715,0.569584201
percentage,NA,6,5,11,26.09,18.52,0.323378715,0.569584201
foremost,NA,6,5,11,26.09,18.52,0.323378715,0.569584201
overdose,mental health/substance abuse,6,5,11,26.09,18.52,0.323378715,0.569584201
people like,NA,6,5,11,26.09,18.52,0.323378715,0.569584201
trade,economy/fiscal issues,6,5,11,26.09,18.52,0.323378715,0.569584201
parts,NA,6,5,11,26.09,18.52,0.323378715,0.569584201
frankly,NA,6,5,11,26.09,18.52,0.323378715,0.569584201
optimism,NA,6,5,11,26.09,18.52,0.323378715,0.569584201
fulfill,NA,6,5,11,26.09,18.52,0.323378715,0.569584201
neighborhoods,NA,6,5,11,26.09,18.52,0.323378715,0.569584201
native,NA,6,5,11,26.09,18.52,0.323378715,0.569584201
make state,NA,6,5,11,26.09,18.52,0.323378715,0.569584201
showed,NA,6,5,11,26.09,18.52,0.323378715,0.569584201
showing,NA,6,5,11,26.09,18.52,0.323378715,0.569584201
madam,NA,6,5,11,26.09,18.52,0.323378715,0.569584201
doors,NA,6,5,11,26.09,18.52,0.323378715,0.569584201
listening,NA,6,5,11,26.09,18.52,0.323378715,0.569584201
zip code,NA,6,5,11,26.09,18.52,0.323378715,0.569584201
calls,NA,6,5,11,26.09,18.52,0.323378715,0.569584201
create new,NA,6,5,11,26.09,18.52,0.323378715,0.569584201
advocates,NA,6,5,11,26.09,18.52,0.323378715,0.569584201
accessible,NA,6,5,11,26.09,18.52,0.323378715,0.569584201
daughters,NA,6,5,11,26.09,18.52,0.323378715,0.569584201
knows,NA,7,6,13,30.43,22.22,0.322185061,0.570297453
happening,NA,7,6,13,30.43,22.22,0.322185061,0.570297453
10 million,NA,7,6,13,30.43,22.22,0.322185061,0.570297453
journey,NA,7,6,13,30.43,22.22,0.322185061,0.570297453
similar,NA,7,6,13,30.43,22.22,0.322185061,0.570297453
